sample_ID,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Negativicutes,Bacteria;Proteobacteria;Gammaproteobacteria,label
H26709,1,11,5381,6,17,950,3127,425,367,0
H26781,17,342,2364,0,16,1101,8758,334,1016,1
H26800,2,33,4583,5,35,1708,5194,15,120,0
H26721,5,3,5578,0,2,215,3230,3487,1721,0
H27098,0,108,11306,0,95,784,8199,148,686,0
H26765,2,315,13491,0,7,267,3905,197,138,0
H27217,1,30,14396,0,821,71,4696,1275,660,0
H27421,3,52,12350,78,159,503,8128,2167,129,0
H26114,5,100,4682,8,1085,142,4454,518,1089,0
H27408,25,22,5751,0,1,808,9929,3103,335,0
H27318,3,297,10497,0,31,547,7395,11958,90,0
H26557,1,39,6725,0,0,194,6583,1363,37,0
H26043,0,40,3140,0,15,441,8153,4281,452,0
H18093,10,336,6872,1,61,185,2940,2696,1676,0
H18127,2,334,3049,56,2,556,4564,525,25,0
H27279,7,293,1560,0,7,162,19476,5735,3155,0
H26890,1,15,6523,0,1,65,3924,670,222,0
H30963,109,923,2673,0,16,8570,9237,125,509,0
H21548,13,51,9742,0,33,246,2706,156,830,1
H31018,4,202,14392,215,60,441,6563,351,275,0
H25926,19,569,8300,2,1,175,9654,722,1257,0
H27312,7,48,4789,0,0,33,7437,11059,48,0
H31085,3,238,5428,0,29,655,7837,1879,2378,0
H27137,1,50,7113,0,210,265,6379,1722,315,0
H31038,19,248,13340,160,20,418,7739,7715,1097,0
H27273,2,49,10600,81,84,440,12090,5380,513,0
H18204,0,1027,4996,46,282,101,4262,903,441,0
H26845,8,118,4498,0,0,88,4038,2274,1249,0
H26928,3,70,8078,0,36,375,8211,1852,592,0
H27143,2,166,12931,0,148,246,8498,438,404,0
H25767,16,239,4768,0,101,525,6623,1522,3203,1
H27164,0,30,14647,0,17,120,5337,510,1697,0
H26605,6,117,2744,13,72,890,4081,98,241,0
H26574,2,24,3978,0,6,66,2765,140,1409,1
H21549,2,87,2931,34,172,2390,5240,89,134,0
H26742,2,13,8494,16,9,225,5858,3833,1438,0
H32772,3,493,11985,0,228,579,7169,1461,1142,0
H26750,7,123,3474,0,0,2678,10155,204,912,0
H27114,6,47,18075,0,42,246,8669,576,2234,0
H18256,4,306,9931,1,2,724,8922,193,218,0
H26060,5,209,3639,0,0,76,4063,3069,774,0
H25770,7,326,4332,0,5,1165,5937,2397,123,0
H27395,8,90,9606,17,310,2435,14092,4764,2629,0
H26875,121,208,5513,0,1,230,3194,25,6092,0
H32817,0,23,9886,0,3,109,4332,2378,124,0
H25918,3,6,5289,2,18,120,5704,1749,199,0
H27413,6,99,3620,13,28,261,17465,1263,567,0
H32784,1,193,6757,8,92,568,7618,1504,2176,0
H25981,17,357,9857,0,34,4193,7496,109,161,0
H18363,17,24,2500,0,0,1850,7183,3786,6093,0
H27125,9,390,7904,3,227,1697,13648,669,187,0
H26691,2,62,5817,16,58,178,3805,1326,215,0
H25764,8,68,8238,0,0,672,7015,2113,1150,0
H27277,1,19,9648,0,0,444,10932,1685,2039,0
H25792,8,140,8587,0,95,1782,7981,2518,6821,0
H25909,4,39,11463,0,8,216,4023,928,2140,0
H26036,9,288,12807,0,45,200,6376,165,87,0
H31031,10,345,8241,0,0,239,5785,1076,1316,0
H28033,13,38,15772,108,12,1325,25642,2892,2569,0
H27984,1,99,7860,44,4,385,6224,230,340,0
H25880,2,66,7984,106,154,1065,5187,205,1415,0
H26841,0,2,4451,9,70,53,4556,1157,375,0
H31105,1,1128,6898,0,0,562,8629,8336,952,0
H26025,3,1761,4283,0,3,59,5981,209,193,1
H27390,2,169,9195,0,293,5283,9874,290,161,0
H27216,3,132,15812,0,0,396,8107,3109,3982,0
H30924,1,235,10059,0,0,1074,9872,768,3433,0
H31082,5,216,5183,52,97,1247,6345,408,1098,1
H25917,22,175,5000,0,42,142,2272,448,6530,0
H18188,5,44,3725,0,28,66,5073,825,576,0
H27258,14,751,5741,0,3,323,15872,5636,4168,0
H27324,7,56,5208,20,7,477,10789,2128,405,0
H27252,9,65,4320,0,0,1682,10893,1299,4722,0
H30916,11,1016,9211,0,11,1121,6123,14,3659,0
H26923,5,67,5669,0,194,531,2908,53,4742,0
H18148,3,78,8635,0,779,973,3790,2294,157,0
H27149,2,180,16566,2,25,752,9008,1222,4050,0
H34143,2,120,7979,3,9,915,9428,175,4691,0
H27332,2,414,4638,0,11,1334,4600,10908,126,0
H27191,3,264,8633,0,34,162,10596,422,1269,0
H27322,5,51,6571,98,86,241,12620,406,103,1
H31015,33,1509,8061,47,9,1737,7896,2045,1336,1
H25962,11,182,681,0,19,556,7106,207,25395,0
H25782,11,766,8585,0,31,1102,5117,100,15503,0
H27111,18,94,7838,0,179,2624,7970,5811,19483,0
H25830,7,390,8869,1,272,1041,11701,3630,1077,0
H26880,11,18,8853,0,73,161,10236,366,9112,0
H21562,24,314,8177,0,26,384,4689,130,1515,1
H32821,1,72,15658,26,57,695,5605,441,39,0
H26797,15,318,1294,0,0,148,8131,2032,1008,0
H18201,3,173,4886,153,190,1292,7045,402,217,0
H27209,20,64,4905,10,44,2004,10356,104,47,0
H27276,2,17,11648,0,160,1291,8449,2030,640,0
H27179,6,82,7837,9,16,2028,11919,1201,2091,0
H18229,6,27,645,0,0,1084,2596,4244,6239,0
H18115,10,487,3207,0,22,598,5672,5251,116,0
H31149,14,578,7294,0,0,2547,10272,98,540,0
H18236,2,69,10778,31,62,1090,8083,159,414,0
H26944,9,37,3348,0,5,2176,6010,554,64,0
H26100,23,82,9194,0,1,178,3391,1548,2498,0
H26059,16,581,3743,0,26,899,6505,1367,487,0
H26074,1,134,4412,5,13,711,5125,131,5584,0
H26714,7,203,1054,5,9,445,6827,184,3010,0
H32775,25,637,11937,0,0,652,9216,2681,202,0
H21541,1,225,3526,0,17,423,6648,4515,171,0
H26087,9,23,3522,271,49,987,3943,1067,2882,0
H26846,3,13,6661,4,65,92,2658,466,5854,0
H25811,2,66,7543,1,84,305,5549,584,1249,0
H26855,3,46,4095,18,1,231,1632,1000,5625,0
H18364,5,234,6824,8,200,300,5275,379,2241,0
H18197,5,286,8066,25,42,144,6464,507,176,0
H18254,14,1192,5812,41,0,1019,11480,593,1795,0
H25987,15,315,4452,0,14,2369,5721,105,1818,0
H26589,8,524,2504,0,7,972,4027,684,3872,0
H18385,17,182,8573,0,0,1587,3504,2256,2409,0
H18277,20,201,2595,2,31,422,10701,2035,10,0
H27071,5,360,12264,73,1,1552,15363,4895,834,0
H18196,20,928,4236,12,17,1019,7770,89,167,0
H26005,3,153,10015,0,0,672,6864,28,10,0
H18162,8,33,6109,1,63,559,5033,1261,423,0
H27371,4,790,12259,0,12,3701,16859,4644,1640,0
H26103,42,622,5246,0,0,823,6583,128,1553,0
H27054,0,113,6498,0,0,1042,5530,329,417,0
H26956,5,8,7772,0,21,104,3617,3367,537,0
H21547,5,420,5803,0,7,836,5397,21,115,0
H26893,11,3,8711,0,36,168,3175,2296,5833,0
H27299,8,86,6743,0,13,5123,10423,172,100,0
H34095,16,1034,7956,0,0,2343,10751,95,248,0
H28017,2,38,16202,0,8,160,17309,245,1595,0
H18326,13,652,6859,0,11,1050,6659,1801,18,0
H27192,45,3378,1579,0,5,2682,10744,9635,74,0
H27162,0,48,11896,0,0,354,7988,2799,392,0
H27118,3,113,12454,40,13,166,5004,5620,181,0
H27278,8,118,11604,90,23,747,8258,1693,577,0
H18278,6,576,7287,0,19,1448,8265,2836,144,1
H27385,0,57,14845,25,3,82,8830,1623,1214,0
H18334,5,8,5211,2,311,227,4352,134,2668,0
H28999,164,1028,2695,5,36,1023,12723,1598,1307,0
H18387,17,654,4902,585,565,248,9105,58,40,0
H25787,29,682,6211,0,71,320,6777,2229,1056,0
