sample_ID,Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales,Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales,Bacteria;Acidobacteriota;Subgroup 5;uncultured Acidobacteria bacterium,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Frankiales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales,Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales,Bacteria;Actinobacteriota;Actinobacteria;uncultured,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,Bacteria;Bacteroidota;Bacteroidia;Cytophagales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales,Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Chloroflexi;Anaerolineae;Caldilineales,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Dependentiae;Babeliae;Babeliales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Desulfobacterota;Desulfuromonadia;Geoalkalibacteraceae,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Elusimicrobiota;Lineage IIa;Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12,Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Thermicanales,Bacteria;Firmicutes;Clostridia;Caldicoprobacterales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;uncultured,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Limnochordia;M55-D21,Bacteria;Firmicutes;Moorellia;Desulfitibacterales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;uncultured;uncultured Peptococcaceae bacterium,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Myxococcota;Polyangia;Polyangiales,Bacteria;Myxococcota;Polyangia;mle1-27,Bacteria;Myxococcota;bacteriap25;uncultured bacterium,Bacteria;Nitrospirota;Nitrospiria;Nitrospirales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales,Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Spirochaetota;Brachyspirae;Brachyspirales,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales,Bacteria;Synergistota;Synergistia;Synergistales,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H18192,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,116,0,0,3827,0,0,1,0,0,0,0,0,0,57,0,56,0,0,0,0,0,0,82,0,6,0,1,0,0,3,1,0,0,0,0,1427,18,1119,0,0,0,0,0,0,0,3153,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H26766,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,13397,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,49,33,30,13,4,0,0,10,184,0,15,1,0,1745,386,2078,0,8,0,0,0,0,0,8,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
H25836,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,91,0,0,8804,0,0,7,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,127,0,28,835,1,0,0,554,145,1,71,0,0,1673,360,5497,10,14,0,0,0,0,0,0,1594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1087,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
H26835,0,0,0,0,0,6,1,13,0,0,0,0,0,0,0,245,0,0,3072,0,0,1,7,0,0,0,0,0,0,0,135,0,0,0,0,0,3,331,0,117,0,0,0,0,44,2,0,2,6,0,1200,6,1053,0,14,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18263,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,82,0,0,12758,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,70,0,72,0,2,0,0,34,53,1,9,1,0,1838,92,1138,0,61,0,0,0,0,0,0,4157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18325,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,508,0,0,5821,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,169,0,171,0,1,0,0,0,0,0,0,0,0,5041,0,568,0,2,0,0,0,0,0,2251,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,9344,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,24,0,10,0,0,0,0,31,2,0,0,0,0,1187,15,2460,0,20,0,0,0,0,0,213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,0,0,0,0,48,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
H26853,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,209,0,0,6029,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,133,0,116,0,0,0,0,129,0,10,0,0,0,1268,33,1548,14,20,0,0,0,0,0,34,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H25861,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,274,0,0,10260,0,0,0,0,0,0,0,0,0,1,0,115,0,0,0,0,0,0,524,0,8,1,0,0,0,541,166,0,3,0,0,3074,5,4739,0,14,0,0,0,0,0,0,2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,0,0,0,0,648,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
H18135,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,149,0,0,6374,0,0,0,0,0,0,1,0,0,0,0,73,0,0,0,0,0,0,118,0,61,0,0,0,0,391,0,0,14,0,0,1010,46,2046,5,6,0,0,0,0,0,5,852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,460,0,0,0,0,180,0,0,0,0,24,1,0,0,0,0,0,0,0,0,1
H26721,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,3,0,0,5578,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,138,0,74,0,3,0,0,0,87,0,68,0,0,1744,25,1301,0,5,0,0,0,0,0,0,3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,1381,2,0,0,0,0,0,0,0,0,0
H18225,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,148,0,0,7713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,42,0,9,0,0,0,0,0,3,0,0,2932,1,48,0,4,0,0,0,0,0,0,8807,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,54,0,0,0,0,2600,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0
H26851,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0,1260,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,77,0,100,236,0,0,0,0,39,0,8,0,0,3176,11,3687,0,28,0,0,0,0,0,281,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,184,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0
H34119,0,0,0,0,0,11,1,0,0,3,0,0,0,0,0,390,0,0,3193,0,0,0,1,0,0,0,0,0,99,0,1,0,1,0,0,0,1,710,4,2205,375,1,0,0,567,776,4,961,0,0,1600,70,3508,7,31,0,0,0,0,0,0,4712,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,21,0,0,0,0,52,0,0,0,0,193,1,0,0,0,0,0,0,0,6,0
