sample_ID,Bacteria;Abditibacteriota;Abditibacteria,Bacteria;Acidobacteriota;Aminicenantia,Bacteria;Acidobacteriota;Blastocatellia,Bacteria;Acidobacteriota;Subgroup 19,Bacteria;Acidobacteriota;Vicinamibacteria,Bacteria;Actinobacteriota;Acidimicrobiia,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bdellovibrionota;Oligoflexia,Bacteria;Campilobacterota;Campylobacteria,Bacteria;Chloroflexi;Anaerolineae,Bacteria;Chloroflexi;Chloroflexia,Bacteria;Cyanobacteria;Cyanobacteriia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Dependentiae;Babeliae,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Desulfobacterota;Desulfuromonadia,Bacteria;Desulfobacterota;Syntrophia,Bacteria;Elusimicrobiota;Elusimicrobia,Bacteria;Elusimicrobiota;Lineage IIa,Bacteria;Fibrobacterota;Fibrobacteria,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Incertae Sedis,Bacteria;Firmicutes;Limnochordia,Bacteria;Firmicutes;Moorellia,Bacteria;Firmicutes;Negativicutes,Bacteria;Firmicutes;Syntrophomonadia,Bacteria;Firmicutes;uncultured,Bacteria;Fusobacteriota;Fusobacteriia,Bacteria;Myxococcota;Polyangia,Bacteria;Myxococcota;bacteriap25,Bacteria;Nitrospirota;Nitrospiria,Bacteria;Patescibacteria;Gracilibacteria,Bacteria;Patescibacteria;Parcubacteria,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Spirochaetota;Brachyspirae,Bacteria;Spirochaetota;Spirochaetia,Bacteria;Synergistota;Synergistia,Bacteria;Verrucomicrobiota;Lentisphaeria,Bacteria;Verrucomicrobiota;Verrucomicrobiae,label
H34099,0,0,0,0,0,0,148,818,0,4340,0,0,0,0,0,0,5,0,3,0,0,0,0,0,509,6584,5,1,0,637,0,0,0,0,0,0,0,0,2,0,4973,0,0,0,0,2,1
H26094,0,0,0,0,0,0,0,9,0,6923,0,0,0,0,0,0,0,0,40,0,0,0,0,0,344,2476,0,0,0,448,0,0,0,0,0,0,0,0,0,0,6592,0,0,0,0,0,0
H26935,0,0,0,0,0,0,2,35,0,5638,0,0,0,0,0,0,17,0,61,0,0,0,0,0,151,4603,0,0,0,412,0,0,0,0,0,0,0,0,4,0,1678,0,0,0,0,0,1
H25822,0,0,0,0,0,0,4,22,0,13623,0,0,0,0,0,0,9,0,12,0,0,0,0,0,153,6367,1,1,0,3133,0,0,0,0,0,0,0,0,0,2,1622,0,0,0,0,1,1
H27104,0,0,0,0,0,0,3,11,0,7676,0,0,1,0,0,0,0,0,6,0,0,0,0,0,2227,6989,0,2,0,2556,0,0,1,0,0,0,0,0,0,0,361,0,0,0,0,0,0
H26901,0,0,0,0,0,0,4,286,0,5696,0,0,0,0,0,0,50,0,41,0,0,0,0,0,145,4042,3,0,0,2190,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,1
H18108,0,0,0,0,0,0,12,374,0,2454,0,0,2,0,0,0,0,0,1,0,0,0,0,0,843,9935,0,0,0,3426,0,0,0,0,0,0,0,0,0,4,5566,0,0,0,0,0,1
H18218,0,0,0,0,0,0,1,9,0,8829,0,0,0,0,0,0,0,0,169,0,0,0,0,0,23,160,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11495,0,0,0,0,0,1
H26810,0,0,0,0,0,0,8,295,0,910,0,0,0,0,0,0,6,0,2,0,0,0,0,0,1309,4652,0,0,0,1939,0,0,10,0,0,0,0,0,2,0,220,0,0,0,0,0,1
H30911,0,0,0,0,0,0,1,92,0,14065,0,0,0,0,0,0,211,0,0,0,0,0,0,0,132,4105,0,0,0,8,0,0,0,0,0,0,0,0,7,0,202,0,0,0,0,0,1
