sample_ID,Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales,Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Frankiales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales,Bacteria;Actinobacteriota;Actinobacteria;uncultured,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales,Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Chloroflexi;Anaerolineae;Caldilineales,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Dependentiae;Babeliae;Babeliales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Desulfobacterota;Desulfuromonadia;Geoalkalibacteraceae,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Elusimicrobiota;Lineage IIa;Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12,Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;Mycoplasmatales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Thermicanales,Bacteria;Firmicutes;Clostridia;Caldicoprobacterales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;uncultured,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Limnochordia;M55-D21,Bacteria;Firmicutes;Moorellia;Desulfitibacterales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;uncultured;uncultured Peptococcaceae bacterium,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Myxococcota;Polyangia;Polyangiales,Bacteria;Myxococcota;Polyangia;mle1-27,Bacteria;Myxococcota;bacteriap25;uncultured bacterium,Bacteria;Nitrospirota;Nitrospiria;Nitrospirales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales,Bacteria;Proteobacteria;Gammaproteobacteria;EV818SWSAP88,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Spirochaetota;Brachyspirae;Brachyspirales,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales,Bacteria;Synergistota;Synergistia;Synergistales,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H26709,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,5369,0,12,0,0,0,6,0,6,0,17,0,0,0,0,0,97,0,70,0,783,0,0,0,375,331,5,2,0,1,747,62,1574,7,20,3,5,0,0,0,422,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,0,0,0,0,311,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0
H26781,0,0,0,0,2,0,0,0,15,0,0,0,0,342,0,0,2364,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,94,0,624,0,383,0,0,0,103,1986,0,419,0,0,2568,100,3571,1,10,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,1
H26800,0,0,0,0,1,0,0,0,0,0,0,0,1,33,0,0,4583,0,0,0,0,0,0,0,5,0,35,0,0,0,0,0,184,0,32,0,1492,0,0,0,386,672,10,0,0,0,2561,103,1441,0,7,14,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
H26721,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,5578,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,138,0,74,0,0,3,0,0,0,87,0,68,0,0,1744,25,1301,0,5,0,0,0,0,0,0,3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,1381,2,0,0,0,0,0,0,0,0,0
H27098,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,11306,0,0,0,0,0,2,0,0,0,95,0,0,0,0,0,569,0,21,0,194,0,0,0,147,359,8,0,0,0,4284,229,3094,8,70,0,0,0,0,0,134,14,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,325,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H26765,0,0,0,0,0,0,0,0,2,0,0,0,0,315,0,0,13491,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,34,38,165,0,30,0,0,0,22,13,2,8,0,0,1615,49,2191,5,0,0,0,0,0,0,79,118,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,75,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
H27217,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,14396,0,0,0,0,0,1,0,0,0,821,0,0,0,0,0,57,1,13,0,0,0,0,0,62,36,5,24,0,0,1328,25,3166,14,36,0,0,0,0,0,0,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H27421,0,0,0,0,2,0,0,0,1,0,0,0,0,52,0,0,12350,0,0,0,0,1,0,0,78,0,159,0,0,0,0,0,492,5,6,0,0,0,0,0,114,182,2,5,3,0,2822,233,3655,3,1109,0,0,0,0,0,1,2166,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
H26114,0,0,0,0,1,2,2,0,0,0,0,0,0,100,0,0,4682,0,0,0,0,0,0,0,8,0,1085,0,0,0,0,0,118,0,20,0,0,4,0,0,116,433,0,133,0,0,972,165,2618,0,17,0,0,0,0,0,509,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1082,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
H27408,0,0,0,0,0,1,6,0,15,0,0,0,3,22,0,0,5652,0,99,0,0,0,18,0,0,0,1,0,0,0,0,105,640,0,63,0,0,0,0,0,386,0,0,89,40,0,3638,754,4956,0,66,0,0,0,0,0,0,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,4,0,0,24,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
H27318,0,0,0,0,3,0,0,0,0,0,0,0,0,297,0,0,10497,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,184,7,355,0,1,0,0,0,122,12,6,249,2,0,2904,66,3983,5,46,0,0,2,0,0,0,11958,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,47,0,0,0,0,13,0,0,0,0,27,3,0,0,0,0,0,0,0,1,0
H26557,0,0,0,0,0,0,0,1,0,0,0,0,0,39,0,0,6725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,95,0,60,1,0,0,102,68,16,0,0,0,1766,24,4600,2,5,0,0,0,0,0,0,1363,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
H26043,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3139,0,1,0,0,0,0,0,0,0,15,0,0,0,0,9,146,0,286,0,0,0,0,0,2,6,0,123,2,0,3740,51,4200,0,29,0,0,0,0,0,0,4281,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,350,0,0,0,0,70,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
H18093,0,0,0,0,3,7,0,0,0,0,0,0,0,336,0,0,6871,0,1,0,0,0,0,0,1,0,61,0,0,0,0,0,125,0,60,0,0,0,0,0,3,78,1,0,0,0,1559,26,1197,0,76,0,0,0,0,0,1,2695,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,0,709,0,0,0,0,4,1,0,0,0,0,0,0,0,17,0
