sample_ID,Bacteria;Abditibacteriota;Abditibacteria,Bacteria;Acidobacteriota;Aminicenantia,Bacteria;Acidobacteriota;Blastocatellia,Bacteria;Acidobacteriota;Subgroup 5,Bacteria;Actinobacteriota;Acidimicrobiia,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Actinobacteriota;Coriobacteriia,Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bdellovibrionota;Oligoflexia,Bacteria;Campilobacterota;Campylobacteria,Bacteria;Chloroflexi;Anaerolineae,Bacteria;Cyanobacteria;Cyanobacteriia,Bacteria;Cyanobacteria;Vampirivibrionia,Bacteria;Dependentiae;Babeliae,Bacteria;Desulfobacterota;Desulfovibrionia,Bacteria;Desulfobacterota;Desulfuromonadia,Bacteria;Elusimicrobiota;Elusimicrobia,Bacteria;Elusimicrobiota;Lineage IIa,Bacteria;Fibrobacterota;Fibrobacteria,Bacteria;Firmicutes;Bacilli,Bacteria;Firmicutes;Clostridia,Bacteria;Firmicutes;Incertae Sedis,Bacteria;Firmicutes;Limnochordia,Bacteria;Firmicutes;Moorellia,Bacteria;Firmicutes;Negativicutes,Bacteria;Firmicutes;uncultured,Bacteria;Fusobacteriota;Fusobacteriia,Bacteria;Myxococcota;Polyangia,Bacteria;Myxococcota;bacteriap25,Bacteria;Nitrospirota;Nitrospiria,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Spirochaetota;Brachyspirae,Bacteria;Spirochaetota;Spirochaetia,Bacteria;Synergistota;Synergistia,Bacteria;Verrucomicrobiota;Lentisphaeria,Bacteria;Verrucomicrobiota;Verrucomicrobiae,label
H18192,0,0,0,0,0,5,116,0,3828,0,0,0,0,0,57,0,56,0,0,0,0,89,2568,0,0,0,6254,0,0,0,0,0,0,0,732,0,0,0,0,0,0
H26766,0,0,0,0,0,2,12,0,13399,0,0,0,0,0,0,0,7,0,0,0,0,129,4427,0,0,0,166,0,0,0,0,0,0,0,84,0,0,0,0,0,0
H25836,0,0,0,0,0,3,91,0,8811,0,0,0,0,0,1,0,32,0,0,0,0,991,8325,0,0,0,1594,0,0,0,0,0,0,0,1169,0,0,0,0,0,0
H26835,0,0,0,0,0,20,245,0,3080,0,0,0,0,0,0,0,135,0,0,0,0,451,2327,0,0,0,497,0,0,0,0,0,0,0,6633,0,0,0,0,0,0
H18263,0,0,0,0,0,16,82,0,12758,0,0,5,0,0,0,0,12,0,0,0,0,144,3227,0,0,0,4157,0,0,0,0,0,0,0,89,0,0,0,0,0,0
H18325,0,0,0,0,0,7,508,0,5821,0,0,0,0,0,0,0,324,0,0,0,0,341,5611,0,0,0,2271,0,0,0,0,0,0,0,2795,0,0,0,0,0,0
H18152,0,0,0,0,0,0,64,0,9344,0,0,0,0,0,0,0,72,0,0,0,0,34,3715,0,0,0,214,0,0,0,0,0,0,0,2041,0,0,0,0,0,0
H26853,0,0,0,0,0,11,209,0,6029,0,0,0,0,0,0,0,16,0,0,0,0,249,3022,0,0,0,81,2,0,0,0,0,0,0,708,0,0,0,0,0,0
H25861,0,0,0,0,0,2,274,0,10260,0,0,0,0,0,1,0,115,0,0,0,0,533,8542,0,0,0,2392,0,0,0,0,0,0,0,1799,0,0,0,0,0,1
H18135,0,0,0,0,0,6,149,0,6374,0,0,1,0,0,0,0,73,0,0,0,0,179,3518,0,0,0,857,0,0,0,0,0,0,1,665,0,0,0,0,0,1
H26721,0,0,0,0,0,5,3,0,5578,0,0,0,0,0,0,0,2,0,0,0,0,215,3230,0,0,0,3487,0,0,0,0,0,0,0,1721,0,0,0,0,0,0
H18225,0,0,0,0,0,10,148,0,7714,0,0,0,0,0,0,0,0,0,0,0,0,59,2988,0,0,0,8807,0,0,0,0,0,1,0,2702,0,0,0,0,0,0
H26851,0,0,0,0,0,1,33,0,1260,0,0,0,0,0,22,0,0,0,0,0,0,413,6949,0,0,0,352,0,0,0,0,0,0,1,339,0,0,0,0,0,0
H34119,0,0,0,0,0,15,390,0,3194,0,0,0,0,0,99,0,1,0,1,0,0,3296,7524,0,0,0,4712,0,0,0,0,0,1,2,267,0,0,0,0,6,0
H25842,0,0,0,0,0,159,594,0,1898,0,0,0,0,0,0,0,0,0,0,0,0,3391,4907,0,0,0,280,0,0,0,0,0,24,7,13279,0,0,0,0,0,0
H26832,0,0,0,0,0,13,326,0,6004,0,0,0,0,0,0,0,27,0,0,0,0,1257,8583,0,0,0,170,0,0,5,0,0,0,0,721,0,0,0,0,0,1
H18186,0,0,0,0,0,18,343,0,4382,0,0,0,0,0,18,0,117,0,0,0,0,388,8404,0,0,0,153,0,3,0,0,0,7,1,265,0,0,0,0,0,0
H18354,0,0,0,0,0,2,31,0,6147,0,0,0,0,0,7,0,52,0,0,0,0,261,6377,0,0,0,362,0,0,0,0,0,0,0,149,0,0,0,0,0,0
H25771,0,0,0,0,0,23,660,0,6141,0,0,0,0,0,0,0,40,0,0,0,0,1297,8531,0,0,0,720,0,8,0,0,0,0,0,517,0,0,0,0,0,0
H27312,0,0,0,0,0,7,48,0,4789,0,0,0,0,0,0,0,0,0,0,0,0,33,7437,0,0,0,11059,0,0,0,0,0,2,0,48,0,0,0,0,0,0
H21543,0,0,0,0,0,28,223,0,8169,0,0,0,0,0,0,0,127,0,0,0,0,306,12299,5,0,0,349,0,0,0,0,0,0,0,584,0,0,0,0,5,0
