sample_ID,Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales,Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales,Bacteria;Acidobacteriota;Subgroup 19;uncultured bacterium,Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Frankiales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales,Bacteria;Actinobacteriota;Actinobacteria;uncultured,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,Bacteria;Bacteroidota;Bacteroidia;Cytophagales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales,Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20,Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales,Bacteria;Bdellovibrionota;Oligoflexia;Silvanigrellales,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,Bacteria;Chloroflexi;Anaerolineae;Caldilineales,Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Dependentiae;Babeliae;Babeliales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Desulfobacterota;Desulfuromonadia;Geoalkalibacteraceae,Bacteria;Desulfobacterota;Syntrophia;Syntrophales,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Elusimicrobiota;Lineage IIa;Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12,Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales,Bacteria;Firmicutes;Bacilli;Acholeplasmatales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;Mycoplasmatales,Bacteria;Firmicutes;Bacilli;Paenibacillales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Thermicanales,Bacteria;Firmicutes;Clostridia;Caldicoprobacterales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;uncultured,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Limnochordia;M55-D21,Bacteria;Firmicutes;Moorellia;Desulfitibacterales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales,Bacteria;Firmicutes;uncultured;uncultured Peptococcaceae bacterium,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Myxococcota;Polyangia;Haliangiales,Bacteria;Myxococcota;Polyangia;Polyangiales,Bacteria;Myxococcota;Polyangia;mle1-27,Bacteria;Myxococcota;bacteriap25;uncultured bacterium,Bacteria;Nitrospirota;Nitrospiria;Nitrospirales,Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1),Bacteria;Patescibacteria;Parcubacteria;uncultured bacterium,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales,Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Spirochaetota;Brachyspirae;Brachyspirales,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales,Bacteria;Synergistota;Synergistia;Synergistales,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H34099,0,0,0,0,0,0,19,1,0,0,1,0,127,0,0,818,0,0,4338,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,349,2,154,0,0,0,4,0,0,430,433,2,248,4,1,2790,63,2523,14,76,0,5,1,0,0,0,637,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,12,0,0,0,0,4945,0,0,0,0,14,1,0,0,0,0,0,0,0,2,1
H26094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,339,0,4,0,0,1,0,0,0,0,4,0,0,0,0,1541,0,928,0,3,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,5799,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
H26935,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,35,0,0,5638,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,61,0,0,0,0,0,0,0,58,0,93,0,0,0,0,0,0,57,534,2,0,0,0,875,73,3043,13,6,0,0,0,0,0,323,89,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1675,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
H25822,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,22,0,0,13623,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,124,18,5,0,0,0,6,0,0,28,93,11,3,0,0,2243,45,3895,0,49,0,1,1,0,0,0,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1559,0,0,0,0,45,0,0,0,0,15,1,0,2,0,0,0,0,0,1,1
H27104,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,11,0,0,7674,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,941,13,31,0,0,1242,0,0,0,122,1933,6,3,0,0,2214,65,2605,2,35,4,0,2,0,0,0,2556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,185,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
H26901,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,286,0,0,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,41,0,0,0,0,0,0,0,113,0,27,0,0,5,0,0,0,193,215,0,13,1,0,1355,70,2151,30,14,0,3,0,0,0,10,2180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1
H18108,0,0,0,0,0,0,8,3,0,0,0,0,1,0,0,374,0,0,2449,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,623,0,218,0,0,0,2,0,0,2,2,0,36,0,0,3714,48,6122,0,11,0,0,0,0,0,0,3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,5560,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1
H18218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,8829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,2,1,0,3,0,0,78,0,76,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H26810,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,295,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1087,0,209,0,0,13,0,0,0,10,36,0,1,0,0,2163,143,2269,0,30,0,0,0,0,0,2,1937,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,82,0,0,0,0,136,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
H30911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,0,0,14065,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,119,0,13,0,0,0,0,0,0,11,347,0,0,1,0,2397,7,1325,1,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,53,0,0,0,0,148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
H27390,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,169,0,0,9070,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,1,68,65,976,0,0,4173,0,0,0,982,2247,7,174,0,0,2003,34,4349,41,37,0,0,0,0,0,139,151,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30,0,0,0,0,113,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0
H25748,0,0,0,0,0,0,12,1,3,0,1,0,0,0,0,400,0,0,3223,0,0,3,0,0,0,0,0,0,0,0,0,0,204,0,5,0,0,0,0,0,0,0,115,0,186,0,0,0,25,0,0,119,1000,0,0,4,0,5683,100,2980,10,186,0,0,0,0,0,122,8248,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,51,0,0,0,0,1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H27149,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,180,0,0,16566,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,25,0,0,0,0,0,0,0,115,0,240,0,0,397,0,0,0,109,1,16,22,2,0,2544,222,5994,7,91,0,0,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762,0,0,0,0,2253,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
H27142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,526,0,7,0,0,0,0,0,0,0,41,0,2,0,0,5361,81,2553,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1629,0,0,0,0,5894,0,0,0,0,88,0,0,0,0,0,0,0,0,0,1
